"filename", "language", "HTML", "TypeScript", "CSS", "comment", "blank", "total"
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/select-plist/select-plist.component.html", "HTML", 40, 0, 0, 1, 5, 46
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/select-plist/select-plist.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/auxiliar/select-plist/select-plist.component.ts", "TypeScript", 0, 83, 0, 1, 18, 102
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/create-sala/create-sala.component.css", "CSS", 0, 0, 0, 0, 1, 1
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/create-sala/create-sala.component.html", "HTML", 114, 0, 0, 19, 21, 154
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/create-sala/create-sala.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/create-sala/create-sala.component.ts", "TypeScript", 0, 107, 0, 2, 19, 128
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/delete-sala/delete-sala.component.css", "CSS", 0, 0, 0, 0, 1, 1
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/delete-sala/delete-sala.component.html", "HTML", 37, 0, 0, 1, 7, 45
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/delete-sala/delete-sala.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/delete-sala/delete-sala.component.ts", "TypeScript", 0, 34, 0, 0, 7, 41
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/get-sala/get-sala.component.css", "CSS", 0, 0, 0, 0, 1, 1
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/get-sala/get-sala.component.html", "HTML", 31, 0, 0, 0, 5, 36
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/get-sala/get-sala.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/get-sala/get-sala.component.ts", "TypeScript", 0, 33, 0, 0, 7, 40
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/plist-sala/plist-sala.component.css", "CSS", 0, 0, 122, 11, 26, 159
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/plist-sala/plist-sala.component.html", "HTML", 104, 0, 0, 75, 9, 188
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/plist-sala/plist-sala.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/plist-sala/plist-sala.component.ts", "TypeScript", 0, 82, 0, 10, 20, 112
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/update-sala/update-sala.component.css", "CSS", 0, 0, 0, 0, 1, 1
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/update-sala/update-sala.component.html", "HTML", 110, 0, 0, 4, 25, 139
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/update-sala/update-sala.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sala/update-sala/update-sala.component.ts", "TypeScript", 0, 104, 0, 1, 17, 122
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/Auxiliar/data-table-sesion/data-table-sesion.component.css", "CSS", 0, 0, 0, 0, 1, 1
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/Auxiliar/data-table-sesion/data-table-sesion.component.html", "HTML", 20, 0, 0, 0, 1, 21
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/Auxiliar/data-table-sesion/data-table-sesion.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/Auxiliar/data-table-sesion/data-table-sesion.component.ts", "TypeScript", 0, 27, 0, 0, 5, 32
"/home/luisp/ClientProject/cineClientJWT/src/app/component/application/admin/sesion/create-sesion/create-sesion.component.css", "CSS", 0, 0, 0, 0, 1, 1
